anal_num,year,month,day,sample_time,station_type,Season,lat,long,location,subloc,station,stn_depth,stn_depth_result_value_qualifier,sample_depth,secchi_depth,suspn,tdn,srp,susp,tdp,suspc,gf_chl,hplc,TSS,FSS,VSS,cond,ph,doc,total_n,total_p,POM,suspC_uM_L,suspN_uM_L,suspP_uM_L,Susp_C_N_uM_uM,Susp_N_P_uM_uM,Susp_C_P_uM_uM,Susp_C_chla_uM_ug
4583,2017,08,10,17:21:00,lake,summer,50.9902,-98.80983,LMB,SM,MB099881,3.8,NA,0,0.9,276,663,NA,16,18,2880,7.15,6.26,10.000000000000009,1.9999999999999185,0.8000000000000084,974,8.66,520,939,NA,8,239.9800016665278,19.704433497536947,0.5161290322580645,12.178985084576286,38.17733990147784,464.9612532288977,33.563636596717174
4585,2017,08,11,8:54:00,lake,summer,50.65848,-98.40141,LMB,SM,MB066840,6.7,NA,0,0.95,294,686,68,30,79,2670,13.28,12.24,10.000000000000009,1.9999999999999185,0.8000000000000084,972,8.69,814,980,177,8,222.4814598783435,20.98950524737631,0.97,10.599652409918225,21.689155422288852,229.89750854095493,16.753121978790926
4231,2016,10,24,NA,lake,fall,50.38232,-98.08292,LMB,SM,MB038808,5.4,NA,0,NA,384,665,1,36,11,4380,18.82,11.09,NA,NA,NA,1014,8.66,827,1049,48,NA,364.9695858678444,27.414863996573143,1.1612903225806452,13.312835909507545,23.607243997049093,314.27936560842153,19.392645370236153
4087,2016,05,18,NA,lake,spring,51.734117,-99.448583,LMB,NW,"GL_LMB_M

",NA,NC,0,NA,172,562,NA,12,6,1680,1.59,0.98,6,3.5,0.42,901,8.5,829,734,17,2.5,139.98833430547455,12.279574498465054,0.3870967741935484,11.40009650358594,31.722234121034724,361.6365302891426,88.04297755061292
4092,2016,05,19,NA,lake,spring,52.04428,-99.57032,LWH,CW,GL_LWH_M,3.7,NA,0,NA,158,591,1,14,5,1700,2.17,1.34,8,4.8,0.4,935,8.5,838,749,20,3.2,141.65486209482543,11.28007424858999,0.4516129032258064,12.557972489634302,24.97730726473498,313.6643374956849,65.27873829254628
4230,2016,10,24,NA,lake,fall,50.40502,-98.25905,LMB,SM,MB041827,6.2,NA,0,NA,462,694,2,46,13,5300,17.45,9.37,NA,NA,NA,1024,8.59,841,1156,61,NA,441.6298641779852,32.98350824587706,1.4838709677419355,13.389414518487095,22.22801642656932,297.62,25.308301672090845
4109,2016,06,15,NA,lake,spring,51.66751,-99.7077,LWPO,SEE,GL_LWO_M,4.2,NA,0,NA,91,604,1,11,7,1050,1.71,1.07,2.67,2,0.25,948,8.58,851,695,19,0.6699999999999999,87.49270894092159,6.496751624187906,0.3548387096774194,13.467146968521853,18.30902730452955,246.57036156077905,51.16532686603602
4588,2017,08,11,14:56:00,lake,summer,50.40502,-98.25905,LMB,SM,MB041823,5.7,NA,0,0.7,377,632,47,42,57,3710,15.72,14.11,13.333333333333346,5.333333333333301,0.6000000000000029,979,8.73,859,1009,146,8.000000000000046,309.1409049245896,26.91511387163561,1.3548387096774193,11.485773621428985,19.865917381445335,228.17542982529235,19.66545196721308
4098,2016,06,08,NA,lake,spring,51.084467,-98.784159,LMB,NE,GL_Nar1,4.4,ML,0,NA,352,731,6,27,16,3730,6.54,4.35,13.2,12.4,0.06,945,8.62,861,1083,49,0.7999999999999989,310.8074327139405,25.130291996858713,0.8709677419354839,12.367840085295922,28.85329821861556,356.85297830119094,47.524072280419034
4185,2016,08,18,NA,lake,summer,50.701969,-98.33441,LMB,SM,MB070833,4.1,NA,0,NA,466,607,1,35,10,4820,20.16,14.89,NA,NA,NA,996,8.71,864,1073,46,NA,401.63319723356386,33.26907974584137,1.1290322580645162,12.072266509979675,29.466899203459494,355.7322604068708,19.92228160880773
4593,2017,08,12,12:58:00,lake,summer,50.27289,-98.54079,LMB,SM,MB027854,4,NA,0,0.8,367,663,104,31,115,3280,14.58,11.31,11.999999999999972,5.999999999999987,0.5,883,8.67,865,1030,250,5.999999999999987,273.3105574535455,26.20118512172485,1,10.43122882357442,26.20118512172485,273.3105574535455,18.74558007225964
4232,2016,10,24,NA,lake,fall,50.35509,-97.96092,LMB,SM,MB036796,3.6,NA,0,NA,376,675,2,37,11,4390,16.14,9.22,NA,NA,NA,1009,8.67,866,1051,50,NA,365.8028497625198,26.843720996644535,1.1935483870967742,13.627129033573445,22.490685159350825,306.48346871994903,22.664364917132577
4139,2016,07,28,NA,lake,summer,51.820932,-99.863747,LWPO,SEE,WO182986,7.7,NA,0,NA,171,505,1,12,6,1900,4.86,3.22,9,4,0.56,1023,8.63,873,676,19,5,158.32013998833432,12.208181623473978,0.3870967741935484,12.968363747465489,31.53780252730778,408.99369496986367,32.57616049142681
4314,2017,05,16,6:09:00,lake,spring,50.9902,-98.80983,LMB,SM,MB099881,4.6,NA,0,1.35,181,723,16,18,31,1750,4.63,2.74,6.999999999999991,3.499999999999962,0.5000000000000049,1004,8.61,877,904,65,3.5000000000000298,145.82118156820266,12.922110373384736,0.5806451612903226,11.284625912849805,22.25474564305149,251.1364793674601,31.494855630281354
4135,2016,07,27,NA,lake,summer,51.65656,-99.47073,LMB,NW,MB166947,2.6,NA,0,NA,219,637,2,16,6,2130,4.38,3.2,6.67,1.33,0.8,915,8.61,882,856,24,5.34,177.48520956586952,15.63503962304562,0.5161290322580645,11.351759499493763,30.292889269650892,343.8775935338722,40.52173734380583
4137,2016,07,28,NA,lake,summer,51.66751,-99.7077,LWPO,SEE,GL_LWO_M,4.6,NA,0,NA,175,499,NA,15,7,1870,5.35,4.04,8.5,2.5,0.71,971,8.62,892,674,21,6,155.82034830430797,12.493753123438282,0.4838709677419355,12.471860678276808,25.82042312177245,322.02871982890315,29.125298748468783
4138,2016,07,28,NA,lake,summer,51.70568,-99.8639,LWPO,SEE,WO171986,6.4,NA,0,NA,189,462,2,14,5,2020,5.14,3.68,8.5,2.5,0.71,981,8.61,897,651,21,6,168.31930672443963,13.493253373313344,0.4516129032258064,12.474330842800136,29.877918183765264,372.70703631840206,32.74694683354857
4234,2016,10,24,NA,lake,fall,50.27289,-98.54079,LMB,SM,MB027854,4.1,NA,0,NA,475,623,2,53,11,5050,23.89,13.48,NA,NA,NA,996,8.68,902,1098,66,NA,420.7982668110991,33.91161562076105,1.7096774193548387,12.408676469943297,19.835095929124385,246.12728813479384,17.613991913398873
4587,2017,08,11,9:26:00,lake,summer,50.701969,-98.33441,LMB,SM,MB070833,4.4,NA,0,0.7,280,610,71,25,86,3390,25.94,23.39,12.66666666666666,3.3333333333333366,0.7368421052631574,986,8.71,902,890,182,9.333333333,282.4764602949754,19.99000499750125,0.8064516129032258,14.130884926256146,24.78760619690155,350.27081076576957,10.889609109289722
4222,2016,10,20,NA,lake,fall,52.202331,-99.97156,LWPO,SW,WO220997,9.2,NA,0,NA,263,614,8,20,16,2910,11.04,7.98,NA,NA,NA,1009,8.58,904,877,44,NA,242.47979335055413,18.77632612265296,0.6451612903225806,12.914123442818294,29.10330549011209,375.8436796933589,21.96374939769512
4107,2016,06,15,NA,lake,spring,52.06232,-100.12189,LWPO,SW,WO206012,6,NA,0,NA,141,564,1,12,5,1350,2.32,1.55,3,2.5,0.17,1044,8.57,905,705,18,0.5,112.4906257811849,10.07,0.3870967741935484,11.174866633454304,26.004854715499395,290.6,48.49
